Weekday_Check,service,year,month_year,CBD_Check,trips,trip_miles,trip_time,monthly_trips,monthly_miles,monthly_time
Weekday,Yellow Taxi,2022,Feb-22,CBD,1504644,7979145.34,517321.15,75232,398957,25866
Weekday,Green Taxi,2022,Feb-22,CBD,4879,681996.74,1863.53,244,34100,93
Weekday,Yellow Taxi,2022,Mar-22,CBD,1979652,10899704.4,875275.68,86072,473900,38055
Weekday,Green Taxi,2022,Mar-22,CBD,5964,506661.24,2225.1,259,22029,97
Weekday,HVFHV,2022,Mar-22,CBD,4867611,25772163.74,1765359.783,211635,1120529,76755
Weekday,Yellow Taxi,2022,Apr-22,CBD,1851210,9782767.71,900370.82,88153,465846,42875
Weekday,Green Taxi,2022,Apr-22,CBD,5859,846670.84,1927.75,279,40318,92
Weekday,HVFHV,2022,Apr-22,CBD,4514638,24272286.06,1684676.404,214983,1155823,80223
Weekday,HVFHV,2022,May-22,CBD,4725531,26137650.78,1849386.494,214797,1188075,84063
Weekday,Yellow Taxi,2022,May-22,CBD,1879231,12028324.73,1017035.88,85420,546742,46229
Weekday,Green Taxi,2022,May-22,CBD,5961,1532969.92,2283.95,271,69680,104
Weekday,Yellow Taxi,2022,Jun-22,CBD,1949390,11063629.43,1007126.53,88609,502892,45778
Weekday,Green Taxi,2022,Jun-22,CBD,5761,652149.88,2391.68,262,29643,109
Weekday,HVFHV,2022,Jun-22,CBD,4862278,26625764.19,1901980.736,221013,1210262,86454
Weekday,Yellow Taxi,2022,Jul-22,CBD,1674395,9406775.97,803943.08,79733,447942,38283
Weekday,Green Taxi,2022,Jul-22,CBD,5173,657078.02,2117.35,246,31289,101
Weekday,HVFHV,2022,Jul-22,CBD,4360590,23336919.22,1588172.353,207647,1111282,75627
Weekday,HVFHV,2022,Aug-22,CBD,4571029,24820369.41,1671259.025,198740,1079146,72663
Weekday,Green Taxi,2022,Aug-22,CBD,5631,563411.01,2609.95,245,24496,113
Weekday,Yellow Taxi,2022,Aug-22,CBD,1775030,8802650.71,862359.4,77175,382724,37494
Weekday,Yellow Taxi,2022,Sep-22,CBD,1798181,10588033.49,1033455.15,81736,481274,46975
Weekday,Green Taxi,2022,Sep-22,CBD,5349,994367.36,3204.1,243,45199,146
Weekday,HVFHV,2022,Sep-22,CBD,4850577,27046370.4,1987450.793,220481,1229380,90339
Weekday,Yellow Taxi,2022,Oct-22,CBD,1816516,11772780.88,1021411.83,86501,560609,48639
Weekday,Green Taxi,2022,Oct-22,CBD,4610,821697.95,1532.37,220,39128,73
Weekday,HVFHV,2022,Oct-22,CBD,4801717,26078047.03,1882719.928,228653,1241812,89653
Weekday,Yellow Taxi,2022,Nov-22,CBD,1715078,10357535.21,928873.11,77958,470797,42222
Weekday,Green Taxi,2022,Nov-22,CBD,4473,456423.14,1220.2,203,20747,55
Weekday,HVFHV,2022,Nov-22,CBD,4773640,26187695.05,1870676.508,216984,1190350,85031
Weekday,Yellow Taxi,2022,Dec-22,CBD,1764280,8088547.46,1011320.06,80195,367661,45969
Weekday,Green Taxi,2022,Dec-22,CBD,4749,850255.15,1444.5,216,38648,66
Weekday,HVFHV,2022,Dec-22,CBD,5032072,27852759.36,2029209.861,228731,1266035,92237
Weekday,HVFHV,2023,Jan-23,CBD,4490857,23877501.49,1583602.999,204130,1085341,71982
Weekday,Green Taxi,2023,Jan-23,CBD,4227,146691.61,1210.65,192,6668,55
Weekday,Yellow Taxi,2023,Jan-23,CBD,1543301,5271032.71,753410.55,70150,239592,34246
